티어,닉네임,주챔피언,게임횟수,승률,포지션,포지션게임횟수
challenger,dsmjpjo #KR1,레오나,37 게임,59 %,서폿,182
challenger,aabb #9999,킨드레드,146 게임,62 %,정글,153
challenger,Kimman #zxfkk,비에고,21 게임,62 %,정글,98
challenger,I L #KR11,바드,101 게임,57 %,서폿,139
challenger,SINGED #EUW24,신지드,175 게임,58 %,원딜,153
challenger,FA JemDDing #0208,뽀삐,46 게임,70 %,서폿,149
challenger,chillguys #0602,킨드레드,79 게임,62 %,정글,267
challenger,男枪大魔王 #anna,그레이브즈,42 게임,62 %,정글,133
challenger,Wonderwall #mid,아칼리,37 게임,54 %,미드,220
challenger,Rich #DRX,제이스,36 게임,53 %,탑,109
challenger,MeseZZ #1069,세라핀,64 게임,63 %,서폿,232
challenger,wenjian #0420,스카너,32 게임,75 %,정글,97
challenger,거부농장 #KR1,카시오페아,176 게임,57 %,미드,186
challenger,kai #59666,비에고,28 게임,54 %,정글,135
challenger,투정꾼 #FA1,오로라,49 게임,61 %,미드,204
challenger,T1 Cypher #KR21,이즈리얼,41 게임,56 %,원딜,197
challenger,점심시간 #kr33,이즈리얼,34 게임,50 %,원딜,186
challenger,lovely fan #KR2,이즈리얼,76 게임,54 %,원딜,262
challenger,Always With U xD #0907,렐,32 게임,59 %,서폿,155
challenger,66666 #444,암베사,51 게임,53 %,미드,263
challenger,puzzles #7848,파이크,149 게임,63 %,서폿,268
challenger,Chibiusa #KR1,소라카,82 게임,60 %,서폿,145
challenger,골가나르 #3972,렐,189 게임,56 %,서폿,237
challenger,Phago #0312,갱플랭크,48 게임,65 %,탑,74
challenger,한양대표미드 #희 원,아칼리,93 게임,55 %,미드,177
challenger,Zac #KR1,자크,212 게임,54 %,정글,222
challenger,벼랑끝을즐겨 #XXX,판테온,151 게임,74 %,정글,129
challenger,Lower #2005,이즈리얼,35 게임,49 %,원딜,202
challenger,Free #Kirin,트리스타나,59 게임,54 %,원딜,186
challenger,babyting #000,트리스타나,59 게임,54 %,원딜,186
challenger,우끼우끼 #sry,트리스타나,59 게임,54 %,원딜,186
challenger,FA 김문찬 #07년생,코르키,57 게임,63 %,원딜,380
challenger,exzede #wywq,알리스타,58 게임,62 %,서폿,142
challenger,일산전영찬 #KR1,비에고,57 게임,56 %,정글,163
challenger,loverain #rain,코르키,37 게임,41 %,원딜,112
challenger,Shout Baby #0123,비에고,46 게임,61 %,정글,168
challenger,김유빈 #KR20,마스터 이,144 게임,60 %,정글,143
challenger,결 혼 #KR1,칼리스타,53 게임,57 %,원딜,162
challenger,미국인이며 #bee,미스 포츈,21 게임,52 %,서폿,103
challenger,shy9 29 #2008,렐,56 게임,68 %,서폿,196
challenger,구글검색 ZedTeam #123,파이크,70 게임,60 %,서폿,216
challenger,잘해보자고 #PRO,갱플랭크,159 게임,61 %,탑,159
challenger,SOODANGKIM #KR12,파이크,105 게임,52 %,미드,85
challenger,ZD말파이트 #KR1,이즈리얼,81 게임,58 %,원딜,330
challenger,홀로서기 #KR3,미스 포츈,80 게임,55 %,원딜,148
challenger,Bonnie #0314,니달리,30 게임,57 %,정글,122
challenger,cikcik #KR1,제이스,14 게임,71 %,미드,77
challenger,Zimmer #KR5,암베사,41 게임,49 %,탑,162
challenger,bababaabam #KR1,코르키,29 게임,66 %,원딜,128
challenger,남만고먐미 #DKDK,케넨,137 게임,58 %,탑,114
challenger,희라콩콩이 #0429,미스 포츈,53 게임,57 %,원딜,169
challenger,숟가락전사 #KR1,제이스,48 게임,56 %,탑,131
challenger,쑤셔쑤셔 #444,이즈리얼,43 게임,60 %,원딜,135
challenger,꼬마딩구리 #KR1,오리아나,42 게임,67 %,미드,65
challenger,tripup #kr3,트리스타나,51 게임,65 %,원딜,278
challenger,old Ni #B站小尼,닐라,268 게임,60 %,원딜,275
challenger,새벽별빛 #kr2,비에고,45 게임,67 %,정글,179
challenger,Woonie #100,케넨,114 게임,62 %,탑,138
challenger,하늘호랑이 #천 호,키아나,232 게임,55 %,미드,228
challenger,엄마아빠사랑해요 #그리고미안,사일러스,27 게임,63 %,미드,176
challenger,카운팅스타 #오윤수,헤카림,233 게임,55 %,정글,246
challenger,수원 남현준 #1111,제리,14 게임,64 %,미드,94
challenger,티 격 #S 2,블라디미르,192 게임,57 %,미드,106
challenger,FA펭리루 #2006,징크스,37 게임,62 %,원딜,264
challenger,행복한 사람이 되다 #888,볼리베어,310 게임,55 %,탑,243
challenger,FA휘파 #zepa,미스 포츈,66 게임,59 %,원딜,273
challenger,FA 05SUP #不可言说,노틸러스,112 게임,63 %,서폿,279
challenger,ckadmfdls #zypp,알리스타,28 게임,75 %,서폿,100
challenger,임시소환사명 #1112,야스오,53 게임,66 %,미드,89
challenger,감 동 #결 혼,이즈리얼,36 게임,67 %,원딜,173
challenger,Escape #KR06,크산테,45 게임,60 %,탑,162
challenger,小枣小枣 #wxuzi,미스 포츈,122 게임,57 %,원딜,234
challenger,I am Mid #형이야,사일러스,69 게임,65 %,미드,228
challenger,막강주니 #KR1,크산테,69 게임,59 %,탑,196
challenger,잔망 루피 #tired,제이스,32 게임,66 %,탑,162
challenger,튼튼짱짱만욱 #튼튼짱짱,흐웨이,162 게임,55 %,미드,155
challenger,checca #KR2,자크,237 게임,57 %,정글,208
challenger,HLE 팬서 #KR1,크산테,46 게임,59 %,탑,185
challenger,Secret #BLG,오로라,40 게임,65 %,미드,211
challenger,Valhalla #9  9,사일러스,38 게임,82 %,미드,168
challenger,Oner #KR222,리 신,21 게임,52 %,정글,78
challenger,근육밀레니엄 #KR33,바루스,71 게임,61 %,원딜,230
challenger,过客何须千千结 #xycj,비에고,55 게임,62 %,정글,150
challenger,허거덩덩 #KR124,마오카이,156 게임,57 %,서폿,226
challenger,Sungod #KR2,벨베스,33 게임,70 %,정글,59
challenger,Ringcold #TOP,크산테,42 게임,64 %,탑,259
challenger,렐복치 #KR1,렐,139 게임,57 %,서폿,153
challenger,hy442975 #N J F,피들스틱,302 게임,54 %,정글,196
challenger,독박 이니시 #안해 못해,렐,104 게임,61 %,서폿,368
challenger,경상도 왕 #1111,비에고,109 게임,54 %,정글,405
challenger,꿀잼사과잼 #KR1,문도 박사,116 게임,61 %,탑,112
challenger,그브충이 #KR1,녹턴,187 게임,55 %,탑,180
challenger,편식당 #kr72,이즈리얼,33 게임,45 %,원딜,146
challenger,두둠칫 #바 드,바드,341 게임,53 %,서폿,354
challenger,silo #0206,요네,40 게임,57 %,미드,134
challenger,xxxxx941 #KR55,올라프,90 게임,53 %,정글,137
challenger,shdbrudqhrhtlvek #dbrud,흐웨이,42 게임,64 %,미드,128
challenger,Roar #Briar,브라이어,154 게임,56 %,정글,158
challenger,땅굴 정글 #K R,스카너,32 게임,63 %,정글,131
challenger,Sylvie #77777,리 신,24 게임,50 %,정글,119
challenger,喜欢吃薯条 #Chips,렐,98 게임,59 %,서폿,222
challenger,Official髭男dism #イエスタデ,아트록스,25 게임,64 %,미드,117
challenger,ART LEE #KR1,리 신,104 게임,60 %,탑,137
challenger,Bell #絵 空,키아나,152 게임,59 %,미드,163
challenger,Chu성훈 #KR1,카르마,52 게임,60 %,서폿,146
challenger,The Herta #Hokai,판테온,115 게임,56 %,탑,129
challenger,렝 화 #렝 화,렝가,95 게임,59 %,탑,109
challenger,kfo #KR1,블라디미르,259 게임,56 %,탑,506
challenger,왕자혁이 되고싶었던 도구혁 #가락가락,렐,33 게임,58 %,원딜,89
